Issue Type,Summary,Description,Priority,Component,Labels
"Test","[CT-LOGIN-001] Login com credenciais válidas","h3. Informações do Teste
* *ID:* CT-LOGIN-001
* *Módulo:* Login e Autenticação
* *Pré-condição:* Usuário cadastrado no Firebase Auth

h3. Passos para Reprodução:
1. Acessar `http://localhost:5173/login`
2. Preencher o campo **E-mail** com `teste@qa.portfolio.com`
3. Preencher o campo **Senha** com `QATest@2026`
4. Clicar em **Entrar**

h3. Resultado Esperado:
- Usuário é redirecionado para `/dashboard`
- Dashboard exibe os indicadores do sistema
- Nenhuma mensagem de erro é exibida","High","Login e Autenticação","QA,Regressivo,Manual"
"Test","[CT-LOGIN-002] Login com senha incorreta","h3. Informações do Teste
* *ID:* CT-LOGIN-002
* *Módulo:* Login e Autenticação
* *Pré-condição:* Usuário cadastrado no Firebase Auth

h3. Passos para Reprodução:
1. Acessar `/login`
2. Preencher **E-mail** com `teste@qa.portfolio.com`
3. Preencher **Senha** com `senhaErrada123`
4. Clicar em **Entrar**

h3. Resultado Esperado:
- Usuário **permanece** na tela de login
- Uma mensagem de erro é exibida (ex: ""Credenciais inválidas"" ou similar)
- Nenhuma navegação para dashboard ocorre","High","Login e Autenticação","QA,Regressivo,Manual"
"Test","[CT-LOGIN-003] Login com campos em branco","h3. Informações do Teste
* *ID:* CT-LOGIN-003
* *Módulo:* Login e Autenticação
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Acessar `/login`
2. Não preencher nenhum campo
3. Clicar em **Entrar**

h3. Resultado Esperado:
- Mensagem de validação exibida para os campos obrigatórios
- Nenhuma chamada à API é realizada","High","Login e Autenticação","QA,Regressivo,Manual"
"Test","[CT-LOGIN-004] Acesso direto a rota protegida sem login","h3. Informações do Teste
* *ID:* CT-LOGIN-004
* *Módulo:* Login e Autenticação
* *Pré-condição:* Usuário NÃO autenticado

h3. Passos para Reprodução:
1. Sem estar logado, digitar na barra de endereço: `http://localhost:5173/dashboard`
2. Pressionar Enter

h3. Resultado Esperado:
- Usuário é redirecionado para `/login`
- Nenhum dado sensível é exibido","High","Login e Autenticação","QA,Regressivo,Manual"
"Test","[CT-LOGIN-005] Logout","h3. Informações do Teste
* *ID:* CT-LOGIN-005
* *Módulo:* Login e Autenticação
* *Pré-condição:* Usuário autenticado

h3. Passos para Reprodução:
1. Estar logado no sistema
2. Localizar a opção de sair/logout no menu ou avatar do usuário
3. Clicar em **Sair**

h3. Resultado Esperado:
- Sessão encerrada
- Redirecionamento para `/login`
- Tentativa de voltar ao dashboard redireciona para `/login`","Medium","Login e Autenticação","QA,Regressivo,Manual"
"Test","[CT-COMPRA-001] Registrar nova compra com produto do estoque (happy path)","h3. Informações do Teste
* *ID:* CT-COMPRA-001
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 1 produto cadastrado no estoque

h3. Passos para Reprodução:
1. Acessar o módulo **Compras**
2. Clicar em **Nova Compra**
3. Preencher o campo **Fornecedor** com `Distribuidora ABC`
4. Confirmar que a **Data da Compra** já está preenchida com a data atual
5. No campo **Nome do Produto**, clicar (sem digitar nada)
6. Verificar se o dropdown aparece com produtos do estoque
7. Selecionar o primeiro produto da lista
8. Verificar se os campos **Categoria**, **Unidade de Compra**, **Unidade Base**, **Fator**, **Valor de Compra** e **Valor de Venda** foram preenchidos automaticamente
9. Verificar que o campo **Quantidade** está **em branco**
10. Preencher **Quantidade** com `5`
11. Verificar que o **Valor Total** foi calculado automaticamente
12. Selecionar **Forma de Pagamento** → `PIX`
13. Clicar em **Salvar Compra**

h3. Resultado Esperado:
- Compra registrada com sucesso
- Mensagem de sucesso exibida (ou formulário fecha/recarrega)
- Compra aparece na lista com os dados corretos
- O estoque do produto aumenta na quantidade comprada","High","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-002] Autocomplete filtra por texto digitado","h3. Informações do Teste
* *ID:* CT-COMPRA-002
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 2 produtos com nomes diferentes no estoque

h3. Passos para Reprodução:
1. Abrir formulário de nova compra
2. No campo **Nome do Produto**, digitar as 3 primeiras letras de um produto existente (ex: `Cap`)
3. Observar o dropdown de sugestões

h3. Resultado Esperado:
- Dropdown exibe apenas produtos cujo nome contém o texto digitado
- Produtos que não correspondem **não aparecem** na lista
- A busca é case-insensitive (maiúsculas e minúsculas funcionam igual)","High","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-003] Campo Quantidade fica em branco ao selecionar produto","h3. Informações do Teste
* *ID:* CT-COMPRA-003
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 1 produto no estoque

h3. Passos para Reprodução:
1. Abrir formulário de nova compra
2. No campo **Nome do Produto**, selecionar qualquer produto do dropdown

h3. Resultado Esperado:
- O campo **Quantidade** permanece **vazio** / sem valor
- O badge **""Do Estoque""** aparece ao lado do label do produto
- O texto **""← informe quantos comprou""** aparece ao lado do label Quantidade","High","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-004] Produto não encontrado no estoque","h3. Informações do Teste
* *ID:* CT-COMPRA-004
* *Módulo:* Compras
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Abrir formulário de nova compra
2. No campo **Nome do Produto**, digitar um nome inexistente (ex: `ProdutoXXXZZZ`)

h3. Resultado Esperado:
- Dropdown exibe mensagem: *""Nenhum produto encontrado — será cadastrado como novo""*
- Os campos permanecem em branco para preenchimento manual
- Não ocorre nenhum erro de JavaScript","Medium","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-005] Tentativa de salvar compra sem fornecedor","h3. Informações do Teste
* *ID:* CT-COMPRA-005
* *Módulo:* Compras
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Abrir formulário de nova compra
2. Deixar o campo **Fornecedor** em branco
3. Preencher os demais campos com dados válidos
4. Clicar em **Salvar Compra**

h3. Resultado Esperado:
- Compra **não é salva**
- Mensagem de validação exibida: *""Fornecedor é obrigatório""*
- Foco é direcionado para o campo com erro","High","Compras","QA,Regressivo,Manual"
